389,16221,Ubiale Clanezzo - Biblioteca Comunale,UBIALE CLANEZZO,BG,24010,VIA GRADINATA 2,78,3400,13148.29,45.74276,9.6161213,0101000020E6100000EEBC4340743B234073637AC212DF4640
410,16012,Ardesio - Biblioteca Comunale,ARDESIO,BG,24020,VIA PAPA PAOLO VI 4,130,15777,48770,45.93774191,9.92888656,0101000020E6100000B3C9E90497DB2340F0C449ED07F84640
418,16091,Dalmine - Biblioteca Comunale,DALMINE,BG,24044,PIAZZA GIACOMO MATTEOTTI 6,2074,120113,424232,45.64666824,9.59899484,0101000020E6100000A68BA073AF322340B8145F06C6D24640
422,16024,Bergamo - Biblioteca del CONI,BERGAMO,BG,24121,VIA PIZZO DELLA PRESOLANA 15,30,729,0,45.69736142,9.69859942,0101000020E610000024CFBBD2AE6523403132962343D94640
423,16188,San Giovanni Bianco - Biblioteca Comunale,SAN GIOVANNI BIANCO,BG,24015,VIA CASTELLI 19,192,13133,49315.4,45.87022388,9.65468745,0101000020E61000000AB48531334F23402C66007F63EF4640
426,16003,Albano Sant'Alessandro - Biblioteca Comunale Carlo Cattaneo,ALBANO SANT'ALESSANDRO,BG,24061,PIAZZA CADUTI PER LA PATRIA 5,486,32899,131899.06,45.68594068,9.76897478,0101000020E6100000FC18F70FB78923404ACC79E7CCD74640
442,16144,Nembro - Biblioteca Centro Cultura,NEMBRO,BG,24027,PIAZZA ITALIA ,1756,52251,264039,45.74424168,9.76208517,0101000020E61000004DD5030730862340C6F5B54F43DF4640
445,16132,Mapello - Biblioteca Comunale,MAPELLO,BG,24030,PIAZZA IV NOVEMBRE 12,350,20564,5768.9,45.70918183,9.5470815,0101000020E6100000467EFD101B1823403B625F78C6DA4640
447,16182,Rogno - Biblioteca Comunale,ROGNO,BG,24060,PIAZZA DRUSO 5,300,8611,27257,45.85746509,10.13376409,0101000020E6100000C0DB0FBA7C4424407F81836AC1ED4640
449,16213,Terno d'Isola - Biblioteca Comunale,TERNO D'ISOLA,BG,24030,VIA BRAVI 9,145,18393,46864,45.68475302,9.53485848,0101000020E6100000322D7FF8D81123405E5EA9FCA5D74640
450,16123,Lallio - Biblioteca Comunale,LALLIO,BG,24040,VIA SAN BERNARDINO 11,289,19697,37599.14,45.66676236,9.62925179,0101000020E6100000B9FF654A2D422340AF33117858D54640
464,16028,Bolgare - Biblioteca Comunale,BOLGARE,BG,24060,VIA DANTE ALIGHIERI 24,200,16366,30879.87,45.63383948,9.817871,0101000020E610000092B1DAFCBFA22340BFC1EEA621D14640
467,16211,Tavernola Bergamasca - Biblioteca Comunale,TAVERNOLA BERGAMASCA,BG,24060,VIA ROMA ,75,5347,21768,45.70851655,10.04668207,0101000020E61000004EEB57B6E61724405E7699ABB0DA4640
471,16076,Cividate al Piano - Biblioteca Comunale,CIVIDATE AL PIANO,BG,24050,VIA OSPEDALE 40,80,13012,24220.44,45.55363817,9.83545884,0101000020E61000007FE8D542C1AB2340D0FB949DDDC64640
479,16002,Adrara San Rocco - Biblioteca Comunale,ADRARA SAN ROCCO,BG,24060,VIA GUGLIELMO MARCONI 2,140,4062,16180.19,45.7138741,9.95896513,0101000020E610000072B53E7AFDEA2340107BFC3960DB4640
485,16191,Santa Brigida - Biblioteca Comunale,SANTA BRIGIDA,BG,24010,VIA CARALE 13,90,8878,3561,45.98424939,9.62042817,0101000020E61000009255D7C2A83D234038944EE2FBFD4640
495,16037,Brembate - Biblioteca Comunale,BREMBATE,BG,24041,VIA SAN VITTORE PRESSO VILLA TASCA ,300,25358,61576,45.60482475,9.55789769,0101000020E6100000BE201AC4A41D2340DB87BCE56ACD4640
497,16031,Bonate Sotto - Biblioteca Comunale,BONATE SOTTO,BG,24040,VIA SANTA GIULIA 3,168,29187,116414.26,45.6661971,9.56242159,0101000020E6100000883AFFB8F51F2340539852F245D54640
499,16024,Bergamo - Biblioteca del Volontario,BERGAMO,BG,24123,VIA LONGUELO 83,50,3643,19107.24,45.69629245,9.6306309,0101000020E6100000B0B1A60DE2422340D2996A1C20D94640
501,16024,Bergamo - Biblioteca provinciale turismo,BERGAMO,BG,24121,VIA BORGO S. CATERINA 19,100,781,0,45.70473114,9.67998296,0101000020E61000001613FEB9265C2340EB6247A134DA4640
