codice_identificativo;codice_istat;denominazione;comune;prov;cap;Indirizzo;superficie;tot_consistenza_documenti;spese_tot;WGS84_Y;WGS84_X
60;19052;Gussola - Biblioteca Comunale Giancarla Assandri;GUSSOLA;CR;26040;PIAZZA COMASCHI 1;170;9596;19109;45,00946246;10,34923609
61;14065;Teglio - Biblioteca Comunale Elisa Branchi;TEGLIO;SO;23036;PIAZZA S.EUFEMIA 7 ;107;11288;32166,78;46,17221998;10,06693075
62;19080;Ripalta Arpina - Biblioteca Comunale;RIPALTA ARPINA;CR;26010;PIAZZA GUGLIELMO MARCONI 1;60;3988;5139;45,30205639;9,72731491
63;17164;Roè Volciano - Biblioteca Comunale;ROA VOLCIANO;BS;25077;VIA GIUSEPPE VERDI 2;141;21969;35291,29;45,62234175;10,49716185
64;98052;Secugnago - Biblioteca Comunale;SECUGNAGO;LO;26826;VIA GIUSEPPE GARIBALDI 1;86;5064;9474,93;45,23176137;9,59240937
65;15192;San Donato Milanese - Biblioteca Comunale - Sede decentrata di Poasco;SAN DONATO MILANESE;MI;20097;VIA UNICA ;60;4206;;45,40520621;9,23075999
66;16051;Capriate San Gervasio - Biblioteca Comunale Villa Carminati;CAPRIATE SAN GERVASIO;BG;24042;PIAZZA VILLA CARMINATI MMVIII 1;532;42579;62751,79;45,61940318;9,52340892
67;12136;Venegono Inferiore - Biblioteca Seminario Arcivescovile Pio XI;VENEGONO INFERIORE;VA;21040;VIA PIO XI 32;1500;166036;291897;45,73708088;8,90629032
68;13147;Merone - Biblioteca Comunale;MERONE;CO;22046;VIA ZAFFIRO ISACCO 1;185;21937;29873,29;45,78777729;9,24849595
69;16024;Bergamo - Biblioteca Comunale Circoscrizionale L. Pelandi;BERGAMO;BG;24123;VIA CORRIDONI 28;567;21204;;45,7068364;9,68951078
70;16206;Spirano - Biblioteca Comunale;SPIRANO;BG;24050;VIA MISERICORDIA 1;290;22582;67544;45,58271739;9,66936208
71;20066;Viadana - Biblioteca Comunale;VIADANA;MN;46019;VIA MANZONI 2;2000;76609;273025;44,92644065;10,5206164
72;13075;Como - Biblioteca Comunale;COMO;CO;22100;VIA INDIPENDENZA 87;4156;473408;942590,81;45,80869819;9,0814078
73;12123;Somma Lombardo - Biblioteca Comunale Giuseppina Aliverti;SOMMA LOMBARDO;VA;21019;VIA MARCONI 2;385;25000;183718,29;45,68119453;8,71070637
74;16007;Almenno San Salvatore - Biblioteca Comunale;ALMENNO SAN SALVATORE;BG;24031;VIA XXV APRILE 6;380;26466;72521,99;45,7493917;9,58818847
75;15146;Milano - Biblioteca Comunale Rionale Venezia;MILANO;MI;20131;VIA FRISI 2;250;17669;;45,47497736;9,20847123
76;15192;San Donato Milanese - Biblioteca Comunale;SAN DONATO MILANESE;MI;20097;VIA MARTIRI DI CEFALONIA 51;564;26085;403230,52;45,41858334;9,26875025
77;15173;Pieve Emanuele - Biblioteca Comunale;PIEVE EMANUELE;MI;20090;VIA VIQUARTERIO 1;514;24390;119743,2;45,35387927;9,2009584
78;12078;Gorla Maggiore - Biblioteca Comunale;GORLA MAGGIORE;VA;21050;PIAZZA MARTIRI 19;610;33222;67326,52;45,66429488;8,89128633
79;16024;Bergamo - Biblioteca Comunale Circoscrizionale L. Pelandi;BERGAMO;BG;24123;VIA CORRIDONI 28;567;21204;;45,7068364;9,68951078
80;14044;Montagna in Valtellina - Biblioteca Comunale;MONTAGNA IN VALTELLINA;SO;23020;VIA SAN GIORGIO 92;141;9237;21370,11;46,17843503;9,90405443
81;15115;Lacchiarella - Biblioteca Comunale;LACCHIARELLA;MI;20084;PIAZZA RISORGIMENTO 1;200;21250;104674,45;45,32182766;9,13716752
82;12075;Gerenzano - Biblioteca Comunale;GERENZANO;VA;21040;VIA ALESSANDRO MANZONI ;123;20441;36568,23;45,6381747;9,00097875
83;13154;Montano Lucino - Biblioteca Comunale;MONTANO LUCINO;CO;22070;VIA DEGLI ALPINI 5;150;22340;74339,61;45,78745202;9,04351529
84;15230;Vaprio d'Adda - Biblioteca Comunale;VAPRIO D'ADDA;MI;20069;PIAZZA CAVOUR 26;860;31436;148665;45,57576425;9,53232385
